capital,região
Asmara,Africa
Monrovia,Africa
Mogadishu,Africa
Lusaka,Africa
Khartoum,Africa
Brazzaville,Africa
Nairobi,Africa
Yamoussoukro,Africa
Dakar,Africa
São Tomé,Africa
Accra,Africa
Addis Ababa,Africa
El Aaiún,Africa
Rabat,Africa
Yaoundé,Africa
Bamako,Africa
N'Djamena,Africa
Moroni,Africa
Algiers,Africa
Pretoria,Africa
Diego Garcia,Africa
Malabo,Africa
Porto-Novo,Africa
Praia,Africa
Gitega,Africa
Port Louis,Africa
Tripoli,Africa
Lilongwe,Africa
Mbabane,Africa
Kampala,Africa
Mamoudzou,Africa
Cairo,Africa
Antananarivo,Africa
Nouakchott,Africa
Banjul,Africa
Victoria,Africa
Jamestown,Africa
Dodoma,Africa
Lomé,Africa
Niamey,Africa
Conakry,Africa
Bissau,Africa
Windhoek,Africa
Maputo,Africa
Saint-Denis,Africa
Luanda,Africa
Freetown,Africa
Abuja,Africa
Djibouti,Africa
Bangui,Africa
Gaborone,Africa
Libreville,Africa
Harare,Africa
Maseru,Africa
Ouagadougou,Africa
Kinshasa,Africa
Kigali,Africa
Tunis,Africa
Juba,Africa
